"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"CAPACIDADE_PONDERADA";"SETORES_COBERTOS";"SETORES_COM_PEQ";"SETORES_SEM_PEQ";"POPULACAO_EQUIVALENTE";"INDICE_SOBRECARGA";"latitude";"longitude";"CLASSIFICACAO"
"2308479";"CENTRO DE SAUDE THALLES RIBEIRO GONCALVES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"12";"11";"1";"7251.4";"1.2086";"-2.61656965921625";"-44.2571365667608";"Sobrecarregado"
"2456923";"CENTRO DE SAUDE DE PEDRINHAS II";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"15";"13";"2";"6755.3";"1.1259";"-2.69177862368565";"-44.3043424472497";"Sobrecarregado"
"2309440";"CENTRO DE SAUDE ITAPERA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"14";"13";"1";"6081.9";"1.0137";"-2.6782048207152";"-44.2763735382743";"Em risco"
"2456834";"CENTRO DE SAUDE QUEBRA POTE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"13";"12";"1";"5613.5";"0.9356";"-2.6923404";"-44.2155818";"Em risco"
"2309270";"CENTRO DE SAUDE LAURA VASCONCELOS";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"10";"9";"1";"5544.6";"0.9241";"-2.75745333124619";"-44.3519567383654";"Em risco"
"929417";"CLINICA DA FAMILIA DO CENTRO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"7";"7";"0";"5261.9";"0.8770";"-2.53066464097071";"-44.2953850236779";"Adequado"
"3576566";"CENTRO DE SAUDE MARIA DE LOURDES RODRIGUES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"4";"4";"0";"4397.6";"0.7329";"-2.65358868530623";"-44.2925150296069";"Adequado"
"2309262";"CENTRO DE SAUDE DE PEDRINHAS I";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"9";"7";"2";"3982.5";"0.6638";"-2.68122420248048";"-44.2955153020393";"Adequado"
"2458721";"CENTRO DE SAUDE MARACANA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"6";"6";"0";"2817.7";"0.4696";"-2.62883349140059";"-44.2894452863017";"Adequado"
"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"7";"7";"0";"2786.5";"0.4644";"-2.5318";"-44.2979";"Adequado"
"7152744";"NUCLEO DE ASSISTENCIA DE SAUDE NAS";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"4";"4";"0";"2137.8";"0.3563";"-2.53";"-44.297";"Adequado"
