"CD_SETOR";"AREA_KM2";"POPULACAO";"POPULACAO_INFANTIL";"POPULACAO_IDOSA";"POPULACAO_ADULTA";"POPULACAO_EQUIVALENTE";"DENSIDADE_HAB_KM2";"RENDA_MEDIA";"SITUACAO_COBERTURA";"DISTANCIA_UBS_M";"CNES";"NOME FANTASIA";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"INDICE_SOBRECARGA";"CLASSIFICACAO"
"211130005000090";"0.1234899";"711";"46";"100.0";"565";"814";"5757.555881088251";"2171.36";"Coberto";"1791.76";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000091";"0.0619313";"674";"32";"107.0";"535";"775.6";"10883.026837802532";"1258.97";"Coberto";"1511.88";"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"I";"0.8";"3000";"6.6602";"Sobrecarregado"
"211130005000093";"0.1902627";"844";"26";"212.0";"606";"1026.6";"4435.971948258907";"6832.59";"Coberto";"1602.98";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000094";"0.0913488";"742";"37";"138.0";"567";"870.9";"8122.712066277828";"1843.32";"Coberto";"1343.13";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000095";"0.04289";"450";"17";"66.0";"367";"511.3";"10491.95616693868";"1997.56";"Coberto";"997.43";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000096";"0.0486559";"876";"47";"156.0";"673";"1024.3";"18003.983072967512";"1571.73";"Coberto";"865.05";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000097";"0.021125";"467";"14";"90.0";"363";"546";"22106.508875739644";"1510.96";"Coberto";"766.12";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000098";"0.0660096";"929";"58";"150.0";"721";"1078";"14073.710490595307";"1451.97";"Coberto";"1052.27";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000099";"0.0407848";"489";"30";"92.0";"367";"577.6";"11989.76089131245";"2016.37";"Coberto";"1011.23";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000100";"0.0397547";"773";"42";"123.0";"608";"892.4";"19444.24181291772";"1843.49";"Coberto";"1136.85";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
