"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"CAPACIDADE_PONDERADA";"SETORES_COBERTOS";"SETORES_COM_PEQ";"SETORES_SEM_PEQ";"POPULACAO_EQUIVALENTE";"INDICE_SOBRECARGA";"CLASSIFICACAO";"latitude";"longitude"
"3576566";"CENTRO DE SAUDE MARIA DE LOURDES RODRIGUES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"4";"4";"0";"4397.6";"0.7329";"Adequado";"-2.653588685306232";"-44.29251502960687"
"2309262";"CENTRO DE SAUDE DE PEDRINHAS I";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"9";"7";"2";"3982.5";"0.6638";"Adequado";"-2.6812242024804758";"-44.29551530203929"
"2458721";"CENTRO DE SAUDE MARACANA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"6";"6";"0";"2817.7";"0.4696";"Adequado";"-2.6288334914005893";"-44.28944528630167"
"6929370";"UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"7";"7";"0";"2786.5";"0.4644";"Adequado";"-2.5318";"-44.2979"
"7152744";"NUCLEO DE ASSISTENCIA DE SAUDE NAS";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"4";"4";"0";"2137.8";"0.3563";"Adequado";"-2.53";"-44.297"
"8181918";"CENTRO DE SAUDE DIAMANTE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"0";"0";"0";"0";"0.0000";"Adequado";"-2.818";"-44.1918"
"6929389";"UNIDADE PRISIONAL SAO LUIS 5";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"0";"0";"0";"0";"0.0000";"Adequado";"-2.53";"-44.297"
"4091426";"UNIDADE PRISIONAL DE RESSOCIALIZACAO DE SAO LUIS UPR 2";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"0";"0";"0";"0";"0.0000";"Adequado";"-2.531";"-44.2972"
"4096584";"PENITENCIARIA REGIONAL DE SAO LUIS PRSLZ";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"0";"0";"0";"0";"0.0000";"Adequado";"-2.53";"-44.297"
"4091418";"UNIDADE PRISIONAL DE RESSOCIALIZACAO DE SAO LUIS UPR 6";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"0";"0";"0";"0";"0.0000";"Adequado";"-2.531";"-44.297"
