CD_SETOR;AREA_KM2;POPULAÇÃO;POPULAÇÃO INFANTIL;POPULAÇÃO IDOSA;DENSIDADE POPULACIONAL (hab/KM²)
211130005000263;0.0692252;529;19;93.0;7641.725845501349
211130005000264;0.130067;748;25;191.0;5750.882237615999
211130005000266;0.1176902;552;20;144.0;4690.280074296756
211130005000267;0.1500001;725;28;222.0;4833.33011111326
211130005000268;0.1836007;957;39;262.0;5212.39842767484
211130005000269;0.2035482;908;32;225.0;4460.859884784046
211130005000270;0.0564274;452;7;136.0;8010.292871902657
211130005000271;0.1709739;581;28;103.0;3398.1794882142826
211130005000272;0.1156677;538;10;193.0;4651.255276970148
211130005000273;0.1597375;831;32;209.0;5202.284998826199
211130005000274;0.1707654;717;27;198.0;4198.742836663633
211130005000275;0.28432;826;25;216.0;2905.177265053461
211130005000276;0.0294643;306;8;48.0;10385.449510085087
211130005000279;0.1239143;754;25;192.0;6084.850578181856
211130005000280;0.0635271;512;21;139.0;8059.552537421037
211130005000281;0.1210183;640;32;138.0;5288.4563739533605
211130005000282;0.01116;319;14;29.0;28584.229390681005
211130005000283;0.1018532;670;47;80.0;6578.094748127697
211130005000284;0.1387694;1012;60;137.0;7292.674033324351
211130005000285;0.1059727;685;41;93.0;6463.928917541971
211130005000286;0.0959372;797;44;97.0;8307.517834583457
211130005000287;0.0891582;831;60;116.0;9320.511181248612
211130005000288;0.1471646;1026;59;165.0;6971.785334244784
211130005000289;0.0632762;648;33;112.0;10240.81724250192
211130005000290;0.1690156;678;27;149.0;4011.464030539193
211130005000293;0.109414;732;33;169.0;6690.185899427861
211130005000295;0.0833696;656;31;101.0;7868.575595900664
211130005000296;0.0687159;813;53;94.0;11831.32288160382
211130005000297;0.0585837;776;38;66.0;13246.005288160359
211130005000298;0.0344582;622;36;48.0;18050.855819514658
211130005000299;0.088517;543;26;90.0;6134.414858162839
211130005000300;0.036516;645;39;79.0;17663.489976996385
211130005000301;0.1135212;990;49;111.0;8720.83804610945
211130005000302;0.0900552;1058;49;201.0;11748.349900949639
211130005000303;0.0532502;745;40;114.0;13990.557781942603
211130005000304;0.0308987;613;43;83.0;19839.022353691256
211130005000306;0.038122;709;47;103.0;18598.184775195423
211130005000307;0.3896374;697;30;148.0;1788.8426521684005
211130005000308;0.5774984;894;47;135.0;1548.0562370389252
211130005000310;0.0877045;616;18;110.0;7023.584878769048
211130005000311;0.0555137;699;35;85.0;12591.486425873252
211130005000312;0.025479;642;37;66.0;25197.221241022016
211130005000313;0.1033904;291;13;37.0;2814.5746607035085
211130005000314;0.0229512;455;26;45.0;19824.671476872667
211130005000315;0.3098511;846;50;144.0;2730.343703798373
211130005000316;0.125492;647;20;128.0;5155.70713670991
211130005000317;0.0386843;539;23;89.0;13933.301106650502
211130005000318;0.0253625;570;38;64.0;22474.12518482011
211130005000320;0.2016839;952;45;120.0;4720.2577895409595
211130005000321;0.4367785;567;15;43.0;1298.1408196603084
211130005000323;0.0295603;525;24;92.0;17760.306898103197
211130005000324;0.0185971;375;17;41.0;20164.43423974706
211130005000325;0.0208048;403;13;30.0;19370.529877720528
211130005000326;0.1235635;720;21;218.0;5826.963464129779
211130005000327;0.1205933;965;42;282.0;8002.102936066929
211130005000329;0.0651424;719;48;81.0;11037.358156899347
211130005000330;0.109252;1023;44;175.0;9363.67297623842
211130005000331;0.0542953;611;31;91.0;11253.276066252512
211130005000332;0.0556236;274;11;38.0;4925.966676015217
211130005000334;0.0557768;542;23;88.0;9717.301817243011
211130005000335;0.1081402;849;38;148.0;7850.919454559914
211130005000336;0.0887676;681;41;111.0;7671.718059291904
211130005000337;0.1406415;820;57;143.0;5830.427007675544
211130005000340;0.0921242;845;60;116.0;9172.399868872673
211130005000341;0.1494095;623;30;103.0;4169.748242246979
211130005000342;0.0696896;1074;79;118.0;15411.194783726696
211130005000343;0.0601487;802;57;96.0;13333.621508029268
211130005000344;0.0372708;502;34;61.0;13468.989128218338
211130005000346;0.0754533;977;61;139.0;12948.406497794
211130005000347;0.0869687;829;24;243.0;9532.165020288909
211130005000348;0.0492615;674;50;83.0;13682.084386386936
211130005000349;0.0446654;710;59;70.0;15895.973169388386
211130005000350;0.0528881;644;48;64.0;12176.65221477043
211130005000351;0.1086354;828;26;220.0;7621.824929995196
211130005000352;0.0682836;638;18;144.0;9343.385527418004
211130005000354;0.1118179;432;20;76.0;3863.4243712321554
211130005000355;0.0467891;486;18;87.0;10387.034587115375
211130005000356;0.1798805;878;44;149.0;4881.018231548167
211130005000357;0.0434637;609;35;46.0;14011.69251582355
211130005000358;0.059748;649;23;119.0;10862.28827743188
211130005000359;0.1744595;920;30;178.0;5273.430223060367
211130005000360;0.0611515;391;19;81.0;6393.955994538155
211130005000362;0.05676;373;6;114.0;6571.5292459478505
211130005000364;0.064553;793;53;79.0;12284.479420011463
211130005000365;0.0729656;591;25;104.0;8099.707259311236
211130005000366;0.127683;897;35;143.0;7025.210873804657
211130005000373;0.1789567;733;40;102.0;4095.9628781710885
211130005000374;0.312543;590;37;122.0;1887.7402469420206
211130005000376;0.056886;744;59;83.0;13078.789157261892
211130005000378;0.03828;680;31;91.0;17763.845350052245
211130005000380;0.0450788;851;47;120.0;18878.05354179792
211130005000381;0.0406705;538;25;78.0;13228.261270454015
211130005000382;0.0486511;657;50;98.0;13504.319532343565
211130005000383;0.0399162;864;41;126.0;21645.347001969127
211130005000384;0.0538734;827;64;97.0;15350.803921787005
211130005000385;0.0431126;783;35;119.0;18161.743898535464
211130005000386;0.0862387;1092;91;105.0;12662.528539971034
211130005000387;0.031833;555;37;69.0;17434.737536518707
211130005000388;0.0647316;956;71;56.0;14768.67557730691
211130005000390;0.0513028;696;48;58.0;13566.510989653585
211130005000391;0.0543191;975;67;153.0;17949.487381050127
211130005000393;0.0719513;919;63;107.0;12772.528084968584
211130005000394;0.0412437;780;48;90.0;18911.979284108846
211130005000395;0.0445925;613;36;39.0;13746.70628468913
211130005000396;0.0552815;715;58;61.0;12933.802447473387
211130005000397;0.0147248;219;14;28.0;14872.867543192438
211130005000398;0.0297253;534;25;79.0;17964.494891557024
211130005000399;0.0517422;953;52;96.0;18418.23501899803
211130005000401;0.032718;626;51;63.0;19133.198850785502
211130005000402;0.1067387;512;42;44.0;4796.76068754819
211130005000403;0.0706888;1094;67;121.0;15476.28478627449
211130005000406;0.1111977;964;65;134.0;8669.244058105518
211130005000407;0.0949606;910;47;121.0;9582.921759129575
211130005000409;0.0652555;926;67;100.0;14190.374757683261
211130005000410;0.0449591;916;77;63.0;20374.07332442153
211130005000411;0.1685992;753;58;72.0;4466.213362815482
211130005000412;1.3833097;646;46;78.0;466.99593012323993
211130005000414;0.4584697;763;47;73.0;1664.2321182839346
211130005000415;0.0643157;1006;53;132.0;15641.592954752883
211130005000417;0.0997766;1156;70;138.0;11585.88286231441
211130005000422;0.5887358;1044;77;96.0;1773.2911774687389
211130005000423;0.0989699;619;49;54.0;6254.426850992069
211130005000426;0.0677507;599;51;60.0;8841.237064709296
211130005000427;0.098108;1101;83;109.0;11222.326415786683
211130005000428;0.0438131;618;37;72.0;14105.370311619128
211130005000429;0.0524272;721;50;110.0;13752.403332621234
211130005000430;0.0586351;923;51;113.0;15741.424505117242
211130005000431;0.0590237;1085;62;125.0;18382.446373236515
211130005000432;0.0387491;592;35;75.0;15277.774193465139
211130005000433;0.0451897;735;30;119.0;16264.768298970783
211130005000434;0.0437985;877;53;132.0;20023.51678710458
211130005000436;0.0524506;747;40;115.0;14241.972446454378
211130005000438;0.0530507;835;58;101.0;15739.660362634235
211130005000439;0.0520816;720;37;132.0;13824.460078031398
211130005000440;0.087527;1002;34;167.0;11447.896077781714
211130005000443;0.051938;833;36;142.0;16038.353421387039
211130005000444;0.0528445;773;40;100.0;14627.823141481138
211130005000445;0.0576155;767;39;118.0;13312.389895080318
211130005000446;0.0806009;852;37;153.0;10570.60156896511
211130005000447;0.0969523;764;42;121.0;7880.163750627886
211130005000448;0.0806432;1060;48;149.0;13144.31966985437
211130005000450;0.0929852;825;38;120.0;8872.379690531396
211130005000451;0.1223362;523;25;76.0;4275.10418012003
211130005000456;0.0502834;918;51;133.0;18256.522033116296
211130005000457;0.0728615;360;28;32.0;4940.880986529237
211130005000458;0.0820456;1088;77;157.0;13260.918318593564
211130005000459;0.033006;622;31;80.0;18845.05847421681
211130005000462;0.0563134;924;33;121.0;16408.172832753837
211130005000463;0.1639261;1043;67;131.0;6362.623157630176
211130005000464;0.1259157;968;71;88.0;7687.683108619498
211130005000465;0.129502;1100;54;118.0;8494.077311547311
211130005000466;0.0463542;799;35;124.0;17236.841537552154
211130005000467;0.152615;439;29;54.0;2876.5193460669
211130005000468;0.3203201;915;77;85.0;2856.5175897485046
211130005000470;0.1033486;840;42;88.0;8127.831436516799
211130005000471;0.075675;905;51;129.0;11959.035348529897
211130005000472;0.0955594;1054;86;83.0;11029.78880152031
211130005000473;0.0420793;762;63;70.0;18108.66625633031
211130005000474;0.0284598;629;48;60.0;22101.349974349785
211130005000475;0.0597637;932;52;113.0;15594.750659681378
211130005000476;0.0887108;703;46;85.0;7924.626990174815
211130005000477;0.414043;1435;108;113.0;3465.8235980320883
211130005000478;0.0406211;677;53;44.0;16666.21534128815
211130005000480;0.0974506;1076;81;89.0;11041.491791738583
211130005000481;0.1676215;852;44;94.0;5082.8801794519195
211130005000482;0.5209198;1055;70;83.0;2025.2637738093272
211130005000484;0.6013174;710;41;106.0;1180.740820072727
211130005000485;0.1729412;716;41;88.0;4140.135491138029
211130005000486;0.1726213;1085;107;146.0;6285.435227286552
211130005000489;0.4124571;771;80;74.0;1869.2853147636445
211130005000490;0.1173112;949;63;125.0;8089.594173446354
211130005000491;0.8169726;838;31;149.0;1025.7381948917257
211130005000492;0.4828157;510;12;132.0;1056.3036786086284
211130005000493;0.2581734;365;25;;1413.7784915099696
211130005000495;0.0392422;494;39;35.0;12588.488922639404
211130005000499;0.0550329;660;46;55.0;11992.826109472697
211130005000500;0.0397223;654;49;71.0;16464.303426538743
211130005000501;0.0369998;661;44;53.0;17864.961432223958
211130005000502;0.0470103;598;29;78.0;12720.616545735722
211130005000503;0.1045795;967;62;119.0;9246.55405696145
211130005000504;0.1986392;920;62;113.0;4631.512813180883
211130005000505;0.1167536;876;33;122.0;7502.980636143126
211130005000506;0.0660134;554;25;169.0;8392.235515819515
211130005000509;0.0383052;589;35;69.0;15376.50240698391
211130005000510;0.0490086;734;65;45.0;14976.963226862224
211130005000511;0.0620244;958;73;65.0;15445.5343380992
211130005000516;0.1524983;652;29;185.0;4275.457496903244
211130005000517;0.0827092;553;15;163.0;6686.076035072278
211130005000518;0.1400007;772;27;224.0;5514.258142994999
211130005000520;0.1251296;651;33;64.0;5202.605938163312
211130005000522;0.0614366;616;33;134.0;10026.59652389618
211130005000523;0.0193723;680;52;44.0;35101.665780521675
211130005000524;0.0214113;575;30;39.0;26854.978445960776
211130005000525;0.0110271;428;26;18.0;38813.46863635952
211130005000529;0.2753567;371;20;56.0;1347.343282367925
211130005000530;0.1806043;1150;53;165.0;6367.511736985221
211130005000531;0.1001894;714;36;121.0;7126.50240444598
211130005000533;0.1986712;626;26;120.0;3150.93481088351
211130005000534;0.0966694;1076;36;276.0;11130.719752062183
211130005000535;0.0977251;733;18;193.0;7500.631874513303
211130005000536;0.1397869;834;26;209.0;5966.224302849552
211130005000537;0.0424308;326;8;73.0;7683.098126832396
211130005000538;0.1007765;940;28;269.0;9327.571408016749
211130005000539;0.0896994;919;29;221.0;10245.330515031315
211130005000540;0.0679069;792;33;193.0;11663.026879448185
211130005000541;0.097992;1020;59;248.0;10409.012980651481
211130005000542;0.0955306;824;27;194.0;8625.50847581822
211130005000543;0.0773409;944;29;229.0;12205.702286888309
211130005000544;0.1108902;992;41;238.0;8945.78601174856
211130005000545;0.0906523;951;40;226.0;10490.632890726434
211130005000546;0.0599097;691;23;164.0;11534.025374855824
211130005000547;0.1060823;927;28;227.0;8738.498316872843
211130005000548;0.0911405;828;35;177.0;9084.874452082226
211130005000549;0.0455922;531;19;158.0;11646.729045757827
211130005000550;0.0928182;766;23;223.0;8252.691821216098
211130005000551;0.1203263;1034;41;272.0;8593.300051609665
211130005000552;0.0907464;960;31;267.0;10578.932056808864
211130005000553;0.1194761;874;27;282.0;7315.270585497852
211130005000554;0.0898742;924;41;255.0;10281.03727209811
211130005000555;0.0889221;851;35;234.0;9570.174343610868
211130005000556;0.1174282;949;42;221.0;8081.534077845015
211130005000558;0.0785846;707;20;206.0;8996.673648526556
211130005000559;0.0604889;450;19;99.0;7439.381440231183
211130005000560;0.0722276;535;13;150.0;7407.140760595672
211130005000561;0.0806476;414;11;117.0;5133.444764630318
211130005000562;0.1327067;850;32;236.0;6405.102379909981
211130005000563;0.0884189;637;25;179.0;7204.342058089391
211130005000564;0.0969456;610;29;123.0;6292.188608869304
211130005000565;0.1128078;635;34;56.0;5629.043381751971
211130005000566;0.0290379;587;28;92.0;20214.96044824178
211130005000567;0.018049;447;20;49.0;24765.915009141783
211130005000568;0.0224269;441;17;41.0;19663.885780023098
211130005000569;0.076061;804;38;151.0;10570.463180867988
211130005000570;0.1179107;464;19;70.0;3935.1814551181533
211130005000571;0.2555474;1032;50;189.0;4038.389746872792
211130005000572;0.0469003;355;18;28.0;7569.247957902188
211130005000573;0.12615;837;39;82.0;6634.958382877526
211130005000574;0.0370376;422;16;55.0;11393.826813832431
211130005000575;0.8434098;730;46;78.0;865.5341685619494
211130005000576;0.0590109;669;60;60.0;11336.888608714662
211130005000578;0.0974537;859;44;150.0;8814.442140216328
211130005000579;0.2072582;781;29;107.0;3768.2465639477714
211130005000581;0.1006098;504;26;72.0;5009.452359511698
211130005000582;0.1058344;909;37;171.0;8588.889812764091
211130005000583;0.0774595;855;51;144.0;11038.026323433536
211130005000585;0.0678731;849;42;124.0;12508.63744252141
211130005000586;0.035836;621;42;75.0;17328.942962384193
211130005000587;0.0372338;608;32;73.0;16329.249230537846
211130005000588;0.0539354;860;35;117.0;15945.000871412838
211130005000589;0.0773548;769;61;80.0;9941.20597558264
211130005000591;0.1408441;1004;46;155.0;7128.449115014402
211130005000592;0.1433384;1025;43;221.0;7150.910014343679
211130005000594;0.060403;825;47;115.0;13658.262006853965
211130005000595;0.1524534;828;34;159.0;5431.167819149983
211130005000596;0.1956621;474;17;74.0;2422.5437629464263
211130005000598;0.1487144;686;30;110.0;4612.868693280543
